A0A369GFT3_9HYPO/56-562	k141_2535759_2	53.7	190	79	4	295	482	24	206	2.1e-47	191.4
A0A850ZWK5_SULDA/9-502	k141_471519_1	81.0	221	42	0	176	396	1	221	1.1e-104	381.7
A0A8C0USI6_CYACU/1-483	k141_572352_1	65.2	89	30	1	253	341	1	88	9.8e-26	119.4
A0A7K5Z2J7_9AVES/47-550	k141_2535759_2	61.5	187	72	0	292	478	20	206	1.5e-61	238.4
A0A1V8T7T7_9PEZI/51-444	k141_393916_2	59.7	129	52	0	1	129	75	203	6.5e-36	152.9
A0A7Y0B5G6_9ACTN/22-525	k141_2535759_2	45.1	184	101	0	296	479	24	207	7.3e-40	166.4
A0A2R6W627_MARPO/56-561	k141_2535759_2	53.2	190	86	2	291	480	20	206	1.8e-46	188.3
A0A199W801_ANACO/31-386	k141_391429_1	60.0	90	36	0	230	319	10	99	1.3e-27	125.2
V4ZPI8_9ARCH/36-526	k141_522600_1	34.6	107	70	0	383	489	2	108	5.3e-11	70.5
A0A4W5M9I9_9TELE/36-528	k141_65615_3	37.6	157	98	0	321	477	28	184	1.3e-25	119.0
A0A8J2Z4C9_9GAMM/23-525	k141_2535759_2	49.5	184	93	0	295	478	24	207	4.4e-45	183.7
A0A1E3NQG3_9ASCO/47-553	k141_2535759_2	52.9	187	84	3	295	481	24	206	1.6e-47	191.8
A0A4P9X9V9_9FUNG/37-558	k141_2705264_2	61.2	67	26	0	1	67	60	126	5.3e-17	90.5
A0A1C0ZSV1_9BACL/22-522	k141_2535759_2	45.7	184	99	1	294	476	24	207	3.9e-41	170.6
A0A1J1HYD0_9DIPT/30-525	k141_2463092_1	81.4	86	16	0	241	326	5	90	5.0e-33	143.7
A0A7G9RDZ4_9ACTN/22-523	k141_2535759_2	41.8	184	107	0	294	477	24	207	1.9e-35	151.8
A0A4U8Z624_METTU/23-526	k141_2535759_2	51.6	184	88	1	295	478	24	206	1.5e-48	195.3
A0A1X0XQ35_9BACT/23-524	k141_2535759_2	51.1	184	89	1	295	477	24	207	7.0e-43	176.4
A0A0N0BKX4_9HYME/38-534	k141_572352_1	71.6	88	25	0	267	354	1	88	2.0e-29	131.7
A0A417CYW0_9FIRM/22-524	k141_1884674_1	76.5	68	16	0	1	68	22	89	1.8e-22	108.6
A0A674PR90_TAKRU/44-536	k141_65615_3	38.2	157	97	0	321	477	28	184	1.0e-25	119.4
W9SB24_9ROSA/54-557	k141_2535759_2	51.6	184	88	1	295	478	24	206	1.4e-46	188.7
A0A7K6TE13_CALNI/31-539	k141_777995_3	55.1	98	43	1	412	509	13	109	1.9e-19	98.6
A0A5B6WEU7_9ROSI/31-82	k141_1320776_1	76.1	46	11	0	1	46	51	96	6.0e-14	77.0
A0A5N7AF70_9EURO/32-526	k141_65615_3	64.3	157	56	0	323	479	28	184	2.3e-54	214.5
A0A2A9NAY3_9AGAR/29-518	k141_59219_1	73.8	61	16	0	258	318	6	66	4.3e-21	104.0
