Cpn60_TCP1 PF00118.29 89 8.3e-25 0.98
Cpn60_TCP1 PF00118.29 82 2.9e-12 0.91
Cpn60_TCP1 PF00118.29 116 1.5e-21 0.92
Cpn60_TCP1 PF00118.29 144 1.6e-13 0.94
Cpn60_TCP1 PF00118.29 211 2.8e-24 0.94
Cpn60_TCP1 PF00118.29 180 1.7e-27 0.98
Cpn60_TCP1 PF00118.29 62 6.8e-10 0.91
Transglut_i_TM PF14400.11 62 0.16 0.78
MreB_Mbl PF06723.19 62 0.17 0.71
FumaraseC_C PF10415.14 62 0.21 0.58
FumaraseC_C PF10415.14 62 0.21 0.89
Cpn60_TCP1 PF00118.29 76 5.7e-09 0.93
Cpn60_TCP1 PF00118.29 98 0.012 0.80
ubiquitin PF00240.29 154 1.6e-66 0.99
ubiquitin PF00240.29 154 1.6e-66 0.99
Rad60-SLD PF11976.14 154 1.5e-35 0.99
Rad60-SLD PF11976.14 154 1.5e-35 0.99
Ubiquitin_2 PF14560.12 154 2.3e-12 0.84
Ubiquitin_2 PF14560.12 154 2.3e-12 0.84
Ubiquitin_5 PF18037.7 154 1.7e-07 0.82
Ubiquitin_5 PF18037.7 154 1.7e-07 0.82
Rad60-SLD_2 PF13881.12 154 2.4e-07 0.71
Rad60-SLD_2 PF13881.12 154 2.4e-07 0.71
TBK1_ULD PF18396.7 154 4.7e-07 0.84
TBK1_ULD PF18396.7 154 4.7e-07 0.85
DUF2604 PF10790.15 154 5.6e-07 0.78
DUF2604 PF10790.15 154 5.6e-07 0.78
Dsc3_N PF10302.15 154 4.5e-06 0.81
Dsc3_N PF10302.15 154 4.5e-06 0.82
Plexin_RBD PF20170.4 154 9.2e-06 0.84
Plexin_RBD PF20170.4 154 9.2e-06 0.85
Plexin_RBD PF20170.4 154 9.2e-06 0.85
Plexin_RBD PF20170.4 154 9.2e-06 0.86
OTU1_UBXL PF21403.4 154 1.9e-05 0.81
OTU1_UBXL PF21403.4 154 1.9e-05 0.81
Ubiquitin_4 PF18036.7 154 7.3e-05 0.94
Ubiquitin_4 PF18036.7 154 7.3e-05 0.83
Ubiquitin_4 PF18036.7 154 7.3e-05 0.94
Ubiquitin_4 PF18036.7 154 7.3e-05 0.83
HATPase_c PF02518.31 154 8.7e-05 0.77
HATPase_c PF02518.31 154 8.7e-05 0.77
UBL_UBAC1 PF23326.1 154 0.00012 0.82
UBL_UBAC1 PF23326.1 154 0.00012 0.83
Big_7 PF17957.7 154 0.00028 0.78
Big_7 PF17957.7 154 0.00028 0.78
HemeBinding_Shp PF11545.14 154 0.0017 0.87
