Cpn60_TCP1 PF00118.29 172 4.9e-22 0.95
Cytochrome-c551 PF10643.14 172 0.048 0.87
Cpn60_TCP1 PF00118.29 532 1e-160 0.98
Cpn60_TCP1 PF00118.29 538 1.3e-68 0.89
FaeA PF04703.18 538 0.057 0.93
FaeA PF04703.18 538 0.057 0.84
Cpn60_TCP1 PF00118.29 528 2.4e-155 0.98
WIV_2 PF23017.2 528 0.029 0.86
Sua5_yciO_yrdC PF01300.23 528 0.18 0.81
Cpn60_TCP1 PF00118.29 503 6.9e-149 0.97
SCAB_CC PF16712.10 503 0.025 0.88
SCAB_CC PF16712.10 503 0.025 0.76
SCAB_CC PF16712.10 503 0.025 0.68
Cpn60_TCP1 PF00118.29 550 3.1e-152 0.98
DUF6085 PF19563.4 550 0.06 0.76
DUF6085 PF19563.4 550 0.06 0.79
Cpn60_TCP1 PF00118.29 99 0.015 0.85
Cpn60_TCP1 PF00118.29 108 6e-11 0.88
PIF6 PF05341.16 108 0.11 0.83
PIF6 PF05341.16 108 0.11 0.71
Cpn60_TCP1 PF00118.29 243 2.5e-19 0.87
Cpn60_TCP1 PF00118.29 536 7e-141 0.95
Cpn60_TCP1 PF00118.29 522 3.6e-151 0.97
Cpn60_TCP1 PF00118.29 522 3.6e-151 0.98
Cpn60_TCP1 PF00118.29 532 4.1e-162 0.98
Cpn60_TCP1 PF00118.29 131 1.2e-13 0.94
Cpn60_TCP1 PF00118.29 544 4.8e-164 0.99
DUF2989 PF11207.13 544 0.095 0.89
RNase_P_Rpp14 PF01900.24 544 0.18 0.90
